KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
omwn-fas,Persian WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-fin,FinnWordNet WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-fra,WOLF WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-heb,Hebrew WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-hrv,Croatian WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-isl,IceWordNet WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-ita,MultiWordNet WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-iwn,ItalWordnet WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-jpn,Japanese WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-mcr,Multilingual Central Repository (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-msa,Wordnet WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-nld,Open WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-nor,Norwegian WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-pol,plWordNet WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
